Date,Policy #,Queue
"Wednesday, October 12, 2016",AT10273440,Docattach
"Wednesday, October 12, 2016",AT10264780,Docattach
"Wednesday, October 12, 2016",AT10275700,Docattach
"Wednesday, October 12, 2016",AT10255160,Docattach
"Thursday, October 13, 2016",AT10270160,Docattach
"Thursday, October 13, 2016",AT10250330,Docattach
"Thursday, October 13, 2016",AT10274630,Docattach
"Thursday, October 13, 2016",AT10261320,Docattach
"Thursday, October 13, 2016",AT10253330,Docattach
"Thursday, October 13, 2016",AT10260830,Docattach
"Thursday, October 13, 2016",AT10267170,Docattach
"Thursday, October 13, 2016",AT10258300,Docattach
"Thursday, October 13, 2016",AT10268440,Docattach
"Thursday, October 13, 2016",AT10267190,Docattach
"Thursday, October 13, 2016",AT10253330,Docattach
"Friday, October 14, 2016",AT10255680,Docattach
"Friday, October 14, 2016",AT10263530,Docattach
"Friday, October 14, 2016",AT10277290,Docattach
"Friday, October 14, 2016",AT70004400,Docattach
"Friday, October 14, 2016",AT10263770,Docattach
"Friday, October 14, 2016",AT10268070,Docattach
"Friday, October 14, 2016",AT10258850,Docattach
"Friday, October 14, 2016",AT10275180,Docattach
"Friday, October 14, 2016",AT10261450,Docattach
"Monday, October 17, 2016",AT10238200,Docattach
"Monday, October 17, 2016",AT10268040,Docattach
"Monday, October 17, 2016",AT10260880,Docattach
"Monday, October 17, 2016",AT10274780,Docattach
"Monday, October 17, 2016",AT10256370,Docattach
"Monday, October 17, 2016",AT10256860,Docattach
"Monday, October 17, 2016",AT10279140,Docattach
"Monday, October 17, 2016",AT10279620,Docattach
"Monday, October 17, 2016",AT10278140,Docattach
"Tuesday, October 18, 2016",AT10284440,Docattach
"Tuesday, October 18, 2016",AT70003980,Docattach
"Tuesday, October 18, 2016",AT10267340,Docattach
"Tuesday, October 18, 2016",AT10270690,Docattach
"Tuesday, October 18, 2016",AT10269760,Docattach
"Tuesday, October 18, 2016",AT10261450,Docattach
"Tuesday, October 18, 2016",AT10260710,Docattach
"Wednesday, October 19, 2016",AT10238200,Docattach
"Wednesday, October 19, 2016",AT70003980,Docattach
"Wednesday, October 19, 2016",AT10264260,Docattach
"Wednesday, October 19, 2016",AT10268220,Docattach
"Wednesday, October 19, 2016",AT10271360,Docattach
"Wednesday, October 19, 2016",AT10261470,Docattach
"Wednesday, October 19, 2016",AT10265990,Docattach
"Wednesday, October 19, 2016",AT10269900,Docattach
"Wednesday, October 19, 2016",AT10266620,Docattach
"Thursday, October 20, 2016",AT10276300,Docattach
"Thursday, October 20, 2016",AT10278920,Docattach
"Thursday, October 20, 2016",AT10281520,Docattach
"Thursday, October 20, 2016",AT10281570,Docattach
"Thursday, October 20, 2016",AT10272960,Docattach
"Thursday, October 20, 2016",AT10277080,Docattach
"Thursday, October 20, 2016",AT10244300,Docattach
"Thursday, October 20, 2016",AU10002130,Docattach
"Thursday, October 20, 2016",AT10263600,Docattach
"Thursday, October 20, 2016",AT10276640,Docattach
"Friday, October 21, 2016",AT70004590,Docattach
"Friday, October 21, 2016",AT10262140,Docattach
"Friday, October 21, 2016",AT10251440,Docattach
"Friday, October 21, 2016",AT10274360,Docattach
"Friday, October 21, 2016",AT10279000,Docattach
"Friday, October 21, 2016",AT10260760,Docattach
"Friday, October 21, 2016",AT10277620,Docattach
"Friday, October 21, 2016",AT10271930,Docattach
"Friday, October 21, 2016",AT10275860,Docattach
"Monday, October 24, 2016",AT10244300,Docattach
"Monday, October 24, 2016",AT10269910,Docattach
"Tuesday, October 25, 2016",AT10274210,Docattach
"Tuesday, October 25, 2016",AT10279690,Docattach
"Tuesday, October 25, 2016",AT10270600,Docattach
"Tuesday, October 25, 2016",AT10274600,Docattach
"Tuesday, October 25, 2016",AT10289770,Docattach
"Wednesday, October 26, 2016",AT10273160,Docattach
"Wednesday, October 26, 2016",AT10279860,Docattach
"Wednesday, October 26, 2016",AT10274370,Docattach
"Wednesday, October 26, 2016",AT10275960,Docattach
"Wednesday, October 26, 2016",AT70004610,Docattach
"Wednesday, October 26, 2016",AT10274230,Docattach
"Wednesday, October 26, 2016",AT10260810,Docattach
"Wednesday, October 26, 2016",AT10260800,Docattach
"Wednesday, October 26, 2016",AT10264030,Docattach
"Wednesday, October 26, 2016",AT10272960,Docattach
"Thursday, October 27, 2016",AT10273730,Docattach
"Thursday, October 27, 2016",AT10257620,Docattach
"Thursday, October 27, 2016",AT10290310,Docattach
"Thursday, October 27, 2016",AT10265050,Docattach
"Thursday, October 27, 2016",AT10289690,Docattach
"Thursday, October 27, 2016",AT70004520,Docattach
"Thursday, October 27, 2016",AT10268460,Docattach
"Thursday, October 27, 2016",AT10273890,Docattach
"Thursday, October 27, 2016",AT10269840,Docattach
"Friday, October 28, 2016",AT10274600,Docattach
"Friday, October 28, 2016",AT10273160,Docattach
"Friday, October 28, 2016",AT10260280,Docattach
"Friday, October 28, 2016",AT10270520,Docattach
"Friday, October 28, 2016",AT10272250,Docattach
"Friday, October 28, 2016",AT10242970,Docattach
"Friday, October 28, 2016",AT10260740,Docattach
"Friday, October 28, 2016",AT10264490,Docattach
"Friday, October 28, 2016",AT10254300,Docattach
